Company Name;Director;Appointment Date;Additional Companies
ICE CREAM SOCIAL LIMITED;Isaac James NORMAN;24 Aug 2017;NZBODYMECHANIC LIMITED
ICE CREAM SOCIAL LIMITED;Heidi TUKUAFU;24 Aug 2017;
CHICKEN MADNESS;Isaac James NORMAN;24 Aug 2017;NZBODYMECHANIC LIMITED,ICE CREAM SOCIAL LIMITED
CHICKEN MADNESS;Heidi TUKUAFU;24 Aug 2017;ICE CREAM SOCIAL LIMITED
Company Name;Director;Appointment Date;Additional Companies
ICE CREAM SOCIAL LIMITED;David KO;09 Nov 2012;CHICKEN MADNESS LIMITED
CHICKEN MADNESS;Isaac James NORMAN;24 Aug 2017;NZBODYMECHANIC LIMITED,ICE CREAM SOCIAL LIMITED
CHICKEN MADNESS;Heidi TUKUAFU;24 Aug 2017;ICE CREAM SOCIAL LIMITED
Company Name;Director;Appointment Date;Additional Companies
ICE CREAM SOCIAL LIMITED;David KO;09 Nov 2012;CHICKEN MADNESS LIMITED
CHICKEN MADNESS;Isaac James NORMAN;24 Aug 2017;NZBODYMECHANIC LIMITED,ICE CREAM SOCIAL LIMITED
CHICKEN MADNESS;Heidi TUKUAFU;24 Aug 2017;ICE CREAM SOCIAL LIMITED
Company Name;Director;Appointment Date;Additional Companies
ICE CREAM SOCIAL LIMITED;Isaac James NORMAN;24 Aug 2017;NZBODYMECHANIC LIMITED
ICE CREAM SOCIAL LIMITED;Heidi TUKUAFU;24 Aug 2017;
CHICKEN MADNESS;Isaac James NORMAN;24 Aug 2017;NZBODYMECHANIC LIMITED,ICE CREAM SOCIAL LIMITED
CHICKEN MADNESS;Heidi TUKUAFU;24 Aug 2017;ICE CREAM SOCIAL LIMITED
